nominal_force,initial_force,final_force,mean_volts_per_volt,std_volts_per_volt,mean_force_lbf,mean_force_newtons
500.0,504.0,503.5,0.0030015054415814214,1.4698416531809505e-06,503.75,2240.791641075
444.44444444444446,442.5,442.5,0.0026596936009453814,1.3465809596225343e-06,442.5,1968.33806685
388.8888888888889,387.0,387.5,0.0023291043055590557,1.3701448337291392e-06,387.25,1722.573822345
333.3333333333333,327.0,327.0,0.0019666203383019473,1.3921162947045688e-06,327.0,1454.56846974
277.77777777777777,275.5,276.0,0.001659178580956372,1.4253597609688563e-06,275.75,1226.597111715
222.22222222222223,221.0,221.5,0.0013300173420360268,1.5238335781449665e-06,221.25,984.169033425
166.66666666666663,168.0,168.5,0.0010094439359848374,1.6406663909241012e-06,168.25,748.413287565
111.11111111111109,112.0,113.0,0.0006709899310410764,1.822273503769493e-06,112.5,500.42493225
55.55555555555554,56.5,57.5,0.00033897433372364114,2.0522522210410413e-06,57.0,253.54863234
0.0,0.0,0.0,-1.4429202411561465e-06,1.3889601702758855e-06,0.0,0.0
