nominal_torque,initial_torque,final_torque,mean_volts_per_volt,std_volts_per_volt,mean_torque
0.0,0.0,0.0,1.6233587761936874e-05,9.528838870606713e-07,0.0
40.0,42.03035644305599,42.03035644305599,0.00035964093978577746,1.067970647845782e-06,42.03035644305599
80.0,81.34907698656,81.34907698656,0.0006790540763876586,1.1125787796594869e-06,81.34907698656
120.0,118.40810094710399,118.40810094710399,0.0009806357078891224,1.158462223074589e-06,118.40810094710399
160.0,159.534578756976,159.08263944038399,0.0013164055824446117,1.1711007665224687e-06,159.30860909868
200.0,201.11299588344,200.661056566848,0.0016526809116437242,1.1288846923754273e-06,200.88702622514398
240.0,238.172019843984,237.26814121079997,0.0019516158639926132,1.4097151760007588e-06,237.72008052739199
280.0,277.94267970408,277.490740387488,0.0022680255141739997,1.4846810637976977e-06,277.716710045784
320.0,320.87691478031996,319.973036147136,0.002608073484703395,1.844684990406357e-06,320.42497546372795
360.0,359.74369600723196,358.387878057456,0.002913136976538895,2.2712419896417733e-06,359.065787032344
